ID,Crop_Type,Growth_Stage,Soil_Moisture_pct,Temperature_C,Humidity_pct,Rainfall_7day_mm,Soil_pH,Solar_Radiation_MJm2,Water_Requirement_mm,Irrigate
1,Rice,Seedling,54.49,21.61,39.07,8.2,7.72,20.91,39.89,Yes
2,Rice,Vegetative,23.96,31.25,66.48,57.28,7.6,18.39,67.39,Yes
3,Potato,Flowering,58.57,15.18,82.38,55.85,6.52,13.11,23.55,No
4,Rice,Maturation,15.8,37.88,69.24,64.57,7.69,20.72,53.59,Yes
5,Tomato,Seedling,43.12,37.39,70.2,68.94,7.23,24.09,6.73,No
6,Sugarcane,Seedling,61.32,38.4,54.71,36.27,8.0,13.25,32.46,Yes
7,Soybean,Vegetative,50.21,33.95,74.43,5.71,7.4,20.68,44.17,Yes
8,Sugarcane,Vegetative,51.08,37.76,80.44,18.32,5.6,16.31,77.89,Yes
9,Sugarcane,Seedling,22.66,40.46,86.96,25.17,7.47,17.91,52.53,Yes
10,Sugarcane,Vegetative,24.8,30.16,47.08,46.77,8.19,17.99,68.06,Yes
11,Cotton,Vegetative,40.57,17.45,33.06,8.77,7.38,25.84,53.43,Yes
12,Tomato,Maturation,41.75,41.22,85.95,0.92,7.66,23.63,52.43,Yes
13,Sugarcane,Flowering,16.69,26.74,59.49,76.31,8.13,15.27,77.26,Yes
14,Rice,Flowering,60.5,28.71,42.93,29.91,5.98,29.07,95.37,Yes
15,Wheat,Flowering,39.32,18.02,53.59,78.83,7.92,14.79,10.96,No
16,Rice,Seedling,53.91,37.03,93.57,42.62,5.88,23.2,31.59,Yes
17,Maize,Flowering,41.66,31.38,92.68,74.31,7.77,23.8,29.18,Yes
18,Soybean,Maturation,63.98,27.19,46.11,5.12,5.56,21.08,24.74,No
19,Cotton,Seedling,14.26,32.04,44.88,72.43,8.08,11.42,17.32,No
20,Cotton,Vegetative,53.4,38.82,67.45,19.44,6.92,18.14,60.31,Yes
21,Rice,Seedling,49.54,24.57,56.72,69.11,5.66,23.07,11.13,No
22,Soybean,Seedling,24.92,20.14,59.16,33.75,6.34,15.0,10.55,No
23,Rice,Maturation,58.48,38.11,36.36,52.17,7.12,10.3,52.74,Yes
24,Cotton,Vegetative,34.38,28.0,86.2,72.2,5.99,10.04,28.39,Yes
25,Tomato,Flowering,65.59,36.2,48.54,55.73,7.69,25.67,44.76,Yes
26,Cotton,Flowering,23.06,16.58,77.82,4.88,6.44,11.0,72.48,Yes
27,Potato,Vegetative,13.41,28.71,85.34,5.48,5.7,27.24,52.18,Yes
